ID;primäres_Label_viecpro;field_3;kind;Latitude;Longitude;notes;references_p_lucienfeld_harrer;URI_wien_wiki;URI_p_lucienfeld_harrer;alternatives_label_adress_neu;alternatives_label_adress1822;alternatives_label_suttingerstadtplan;alternatives_Label_Datensammlung;alternatives_Label_Feld;Stadtviertel;ist_Teil_von;GeoNames_Link;Access_Excel_Zitierweise
11;Rosengasse, Studlerisches Haus;Rosengasse, Studlerisches Haus;Wohnadresse;48.2112568;16.3631811;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 184. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Kinskypalais&oldid=803214;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294319;Rosengasse 8;62;Martin Studler;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Rosengasse, Scheidler/Schindler/Sündler, Martin, Haus
12;Teinfaltstraße, Statthalterisches Haus;Teinfaltstraße, Statthalterisches Haus;Wohnadresse;48.2116459;16.3633527;ab 1700 Johann Quintin Jörger, Statthalter usw.;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 158. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Teinfaltstra%C3%9Fe_3&oldid=511222;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294293;Teinfaltstraße 3;64;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Teinfaltstraße, Statthalterisches Haus [Jörger]
13;Ksl. Reitstall;Ksl. Reitstall;Wohnadresse;48.2115852;16.3625775;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 172. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Teinfaltstra%C3%9Fe_8-8A&oldid=511279;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294307;Teinfaltstraße 8-8a;74;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Reitstall, beim ksl., eH;Teinfaltstraße, beim Klepperschmied"
14;Schottenhof;Schottenhof;Wohnadresse;48.2126633;16.3640295;;;https://www.geschichtewiki.wien.gv.at/index.php?title=Schottenhof_(1,_Freyung_6)&oldid=282956;;Freyung 6;136;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Schottenhof
15;Hohe Brücke, Gärberisches Haus;Hohe Brücke, Gärberisches Haus;Wohnadresse;48.2130101;16.3682345;ab 1698 Bernhard Gärber;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 626. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wipplingerstra%C3%9Fe_28&oldid=511240;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282102;Wipplingerstraße 28;143;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Hohe Brücke, an der, Gärbisches Haus
16;Hohe Brücke, Rosenbergisches Haus;Hohe Brücke, Rosenbergisches Haus;Wohnadresse;48.2128743;16.3680533;ab 1690 Christoph Rosenberg, kaiserl. Rat und nö Buchhalter;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 543. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wipplingerstra%C3%9Fe_25&oldid=511271;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282019;Wipplingerstraße 25;146;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Hohe Brücke, Rosenbergerisches Haus;Hohe Brücke, Rosenbergisches Haus"
17;Hohe Brücke, Baderhaus;Hohe Brücke, Baderhaus;Wohnadresse;48.2129792;16.3677173;ab 1668 Johann Thill, Bader und Wundarzt;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 549. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wipplingerstra%C3%9Fe_25&oldid=511271;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282025;Wipplingerstraße 25;148;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Hohe Brücke, Baderisches Haus;Hohe Brücke, Bader, neben dem"
18;Tiefer Graben, Königisches Haus;Tiefer Graben, Königisches Haus;Wohnadresse;48.2122202;16.3675827;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 733. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tiefer_Graben_11-15&oldid=511297;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282654;Tiefer Graben 11-15;152;;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Tiefer Graben, König, Urban Haus;Tiefer Graben, Königische Erben Haus"
19;Freyung, Zum goldenen Strauß;"Freyung, Zum goldenen Strauß;Freyung, Sekretär Feyrer Haus";Wohnadresse;48.2115597;16.366193;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,1, Wien: Selbstverlag, 1952, S. 167. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Freyung_8-9&oldid=510566;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279942;Freyung 8-9;157;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Freyung, im Strauß
20;Tiefer Graben, Premböckisches Haus;Tiefer Graben, Premböckisches Haus;Wohnadresse;48.2115337;16.3666052;ab 1682 Georg Premböck, Häringer;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 729. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Freyung_8-9&oldid=510566;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279951;Tiefer Graben 5;160;georg bremböckh;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Tiefer Graben, Brembeckh, Georg, Haus;Tiefer Graben, Prembeckh, Georg, Haus;Tiefer Graben, Prembeckh, Hans Georg, Haus;Tiefer Graben, Prembeckh, Johann Georg, Haus;Tiefer Graben, Prembeckh/Brembeckh, Georg, Haus;Tiefer Graben, Prenseckh, Hans Georg, Haus"
21;Tiefer Graben, Appelshauserisches Haus;Tiefer Graben, Appelshauserisches Haus;Wohnadresse;48.2116575;16.3668775;ab ca. 1680 Franz Appelshauser;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 731. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tiefer_Graben_7&oldid=511370;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282647;Tiefer Graben 7;161;Frantz Apelshauser;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Tiefer Graben, Abelzhauser, Franz, Haus;Tiefer Graben, Apelzhauser, Franz, Haus"
22;Tiefer Graben, Rechbergerisches Haus;Tiefer Graben, Rechbergerisches Haus;Wohnadresse;48.2118152;16.367094;ab 1651 Wilhelm Rechberger, Leibtrabant;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 736. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tiefer_Graben_9&oldid=511395;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282650;Tiefer Graben 9;164;Jac. Omath k. Koch;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Tiefer Graben, Rechberger, Wilhelm, Haus ;Tiefer Graben, Rechbergerisches Haus, eH"
23;Tiefer Graben, Gaidterisches Haus;Tiefer Graben, Gaidterisches Haus;Wohnadresse;48.2118713;16.3671866;ab 1696 Paul Geidter, Haffner;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 84. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tiefer_Graben_9&oldid=511395;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282652;Tiefer Graben 9;165;Paul Geider Hafner;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Tiefer Graben, Gaidtersches Haus, eH
24;Tiefer Graben, Dr. Kotzi Haus;Tiefer Graben, Dr. Kotzi Haus;Wohnadresse;48.21227;16.3678367;ab 1682 Dr. phil. et med. Johann Christoph Ignaz Koti (Kotzi);Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 87. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tiefer_Graben_17&oldid=511248;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282657;Tiefer Graben 17;168;Hr. Joh. Crist. Ign. Katius Med.;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Tiefer Graben, Kazy, Dr., Haus;Tiefer Graben, Kozy, Dr., Haus"
25;Rotenturmstraße, Zur goldenen Sonne;Rotenturmstraße, Zur goldenen Sonne;Wohnadresse;48.2095258;16.3684328;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 622. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Graben_19&oldid=809249;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279006;Graben 19;170;;TM-TBP-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;Rotenturm, goldene Sonne
26;Kohlmarkt, Langisches Haus;Kohlmarkt, Langisches Haus;Wohnadresse;48.2095258;16.3684328;"ab 1666 Thomas Lang, Handelsmann; danach Katharina Lang, Witwe";Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 661. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Graben_19&oldid=809249;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279009;Graben 19;171;;TM-TBP-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Kohlmarkt, Haus d. Langischen Erben;Kohlmarkt, Lang, Witwe, Haus;Kohlmarkt, Langisches Haus"
27;Hohe Brücke, Ungarisches Haus;Hohe Brücke, Ungarisches Haus;Wohnadresse;48.2133376;16.3691431;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 797. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=B%C3%B6rsegasse_1&oldid=510346;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282098;Tiefer Graben 23;175;;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Hohe Brücke, ungarisches Haus
28;Arsenal, Eysenhuterisches Haus;Arsenal, Eysenhuterisches Haus;Wohnadresse;48.2134455;16.3685296;ab 1663 Schneidermeister Johann Friedrich Eysenhut;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 661. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=B%C3%B6rsegasse_5&oldid=510006;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282137;Börsegasse 5;180;Georg Meyer?;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Arsenal, bei, Eyßenhuet Haus;Arsenal, beim, Eysenhuet Haus;Arsenal, beim, Eysenhuet, Johann, Haus;Arsenal, beim, Eysenhuet/Eyßenhueterisches Haus;Arsenal, beim, Eysenhuetrisches/Eusenhuedt Haus;Arsenal, beim, Eyßenhueterisches Haus;Arsenal, beim, Eyßenhueterisches/Eisenhuedterisches Haus;Arsenal, Eisenhuedt/ Eysenheudt Haus"
29;Passauerhof;Passauerhof;Wohnadresse;48.2130617;16.3703593;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,4, Wien: Selbstverlag, 1950, S. 760. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Passauer_Hof&oldid=391030;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282681;Passauer Platz 6;212;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Passauerhof
30;Salzgries, Wolf in der Au;Salzgries, Wolf in der Au;Wohnadresse;48.213488;16.369694;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 768. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Ledererhof&oldid=9795;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282681;Salzgries 23;214;;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"(Salzgries), Wolf in der Au;Salzgrieß, Wolf in der Au;Salzgrieß, Wolf in der Au, beim;Salzgries, am, Wolf in der Au;Salzgries, Wolf in der Au;Wolf i.d. Au, beim [Salzgrieß];Wolf in der Au;Wolf in der Au, beim"
31;Tiefer Graben, Forsterisches Haus;"Tiefer Graben, Forsterisches Haus;Tiefer Graben, Schmalzisches Haus";Wohnadresse;48.2134126;16.3694554;"ab 1665 Ferdinand Forster, Totenbeschauer; ab 1686 Lorenz Schmalz, bgl. Häringer";Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 769. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Am_Gestade_2-4&oldid=797416;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282689;Am Gestade 2-4;216;;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Tiefer Graben, Forster, Ferdinand, Haus
32;Tiefer Graben, Zum goldenen Glöckel;Tiefer Graben, Zum goldenen Glöckel;Wohnadresse;48.2133414;16.3694217;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 754. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Am_Gestade_2-4&oldid=797416;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282690;Am Gestade 2-4;217;;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Tiefer Graben, goldene Glocke, bei der;Tiefer Graben, goldenes Glöckel, beim;Tiefer Graben, goldenes Glöckl"
33;Tiefer Graben, Zum grünen Hirsch;Tiefer Graben, Zum grünen Hirsch;Wohnadresse;48.2132876;16.3694184;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 754. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Am_Gestade_2-4&oldid=797416;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282693;Am Gestade 2-4;218;Barthol. Lamenith;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Tiefer Graben, grüner Hirsch;Tiefer Graben, grüner Hirsch, beim"
34;Am Gestade, Hiebmerisches Haus;"Am Gestade, Hiebmerisches Haus;Am Gestade, Widtmanisches Haus";Wohnadresse;48.2130028;16.3697987;"ab 1649 Friedrich Hiebmer, Tändler; ab ca. 1671 Mathias Wiedemann (Widtman)";Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 758. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Am_Gestade_1&oldid=797417;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282675;Am Gestade 1;220;Mathias Widman;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Am Gestade (Unser Frauenstiege), Hiebmer/ Hiebner, Friedrich Haus
35;Am Gestade, Neumayrisches Haus;Am Gestade, Neumayrisches Haus;Wohnadresse;48.2131182;16.3694365;"ab 1669 Gabriel Alexander Neumayr, Hofkriegskanzlisten; später Dr. Antonius Passerini";Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,1, Wien: Selbstverlag, 1952, S. 153. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Am_Gestade_5&oldid=797414;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282679;am Gestade 5;222;Antoni (…);TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Am Gestade (Unser Frauenstiege), Neümayrisches Haus, eH
36;Tiefer Graben, Weinbergisches Haus;Tiefer Graben, Weinbergisches Haus;Wohnadresse;48.2118445;16.3675452;Georg Weinberger, Bäckermeister;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,1, Wien: Selbstverlag, 1952, S. 144-145. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tiefer_Graben_8&oldid=511264;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282661;Tiefer Graben 8;235;Georg Weinberger erb.;TM-TBP-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Tiefer Graben, Weinberger, Hans, Haus;Tiefer Graben, Weinbergerisches Haus;Tiefer Graben, Weinperger, Georg, Haus"
37;Heidenschuß, Beim steinernen Türken;Heidenschuß, Beim steinernen Türken;Wohnadresse;48.2111031;16.3663423;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,1, Wien: Selbstverlag, 1952, S. 180. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Heidenschu%C3%9F&oldid=443848;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279957;Heidenschuß 3;237;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Heidenschuß, steinerner Türke
38;Freyung, Auerspergisches Haus;Freyung, Auerspergisches Haus;Wohnadresse;48.2113799;16.3653277;ab 1658 Johann Weikhard Hzg. Auersperg;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 130. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Harrachpalais_(1)&oldid=826095;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279928;Freyung 3;239;Ihre fürstliche gn. Hr. Ferdinandt Fürst v. Auersperg;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Freyung (Schottenfreyung), Auerspergisches Haus;Freyung (Schottenfreyung), Auerspergisches Haus, eH;Freyung (Schottenfreyung), Augspergerisches Haus;Freyung, Auerperg, Fürst Haus;Freyung, Augspergerisches Haus"
39;Herrengasse, Traunisches Haus;Herrengasse, Traunisches Haus;Wohnadresse;48.210418;16.3654483;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,1, Wien: Selbstverlag, 1952, S. 144-145. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Ferstelpalais&oldid=803207;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279920;Herrengasse 14;240;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Herrengasse, Traunisches Haus
40;Beim Schönbrunn, Wisendisches Haus;Beim Schönbrunn, Wisendisches Haus;Wohnadresse;48.2105341;16.3659256;"ab 1703 Ferdinand Leopold Wisendo von Wiesenburg, Hofkriegszahlmeister; Neubau";Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 307. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Sch%C3%B6nbrunnerhaus&oldid=511024;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279966;Strauchgasse 3;244;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"beim Schönbrunn, Wisendisches Haus, im Hofzahlamt;beim Schönbrunn, Wisendisches Haus, eH (Amt)"
41;Herrengasse, Hofbeckisches Haus;Herrengasse, Hofbeckisches Haus;Wohnadresse;48.2100735;16.3655732;ab 1671 Jakob Höffer, Bäcker;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 135. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Herrengasse_12&oldid=510460;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294270;Herrengasse 12;249;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Landhaus, gegenüber, Hofböckisches Haus
