ID;primary_label;Latitude;Longitude;citation_lucienfeld_harrer;URI_wien_wiki;URI_lucienfeld_harrer;adress_today;adress_1822;adress_suttingerstadtplan;district;alternative_label
17;Hohe Brücke, Baderhaus;48.2129792;16.3677173;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 549. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wipplingerstra%C3%9Fe_25&oldid=511271;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282025;Wipplingerstraße 25;148;;Schottenviertel;"Hohe Brücke, Baderisches Haus;Hohe Brücke, Bader, neben dem"
18;Tiefer Graben, Königisches Haus;48.2122202;16.3675827;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 733. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tiefer_Graben_11-15&oldid=511297;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282654;Tiefer Graben 11-15;152;;Schottenviertel;"Tiefer Graben, König, Urban Haus;Tiefer Graben, Königische Erben Haus"
19;Freyung, Zum goldenen Strauß;48.2115597;16.366193;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,1, Wien: Selbstverlag, 1952, S. 167. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Freyung_8-9&oldid=510566;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279942;Freyung 8-9;157;;Schottenviertel;Freyung, im Strauß
20;Tiefer Graben, Premböckisches Haus;48.2115337;16.3666052;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 729. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Freyung_8-9&oldid=510566;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279951;Tiefer Graben 5;160;georg bremböckh;Schottenviertel;"Tiefer Graben, Brembeckh, Georg, Haus;Tiefer Graben, Prembeckh, Georg, Haus;Tiefer Graben, Prembeckh, Hans Georg, Haus;Tiefer Graben, Prembeckh, Johann Georg, Haus;Tiefer Graben, Prembeckh/Brembeckh, Georg, Haus;Tiefer Graben, Prenseckh, Hans Georg, Haus"
21;Tiefer Graben, Appelshauserisches Haus;48.2116575;16.3668775;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 731. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tiefer_Graben_7&oldid=511370;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282647;Tiefer Graben 7;161;Frantz Apelshauser;Schottenviertel;"Tiefer Graben, Abelzhauser, Franz, Haus;Tiefer Graben, Apelzhauser, Franz, Haus"
22;Tiefer Graben, Rechbergerisches Haus;48.2118152;16.367094;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 736. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tiefer_Graben_9&oldid=511395;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282650;Tiefer Graben 9;164;Jac. Omath k. Koch;Schottenviertel;"Tiefer Graben, Rechberger, Wilhelm, Haus ;Tiefer Graben, Rechbergerisches Haus, eH"
23;Tiefer Graben, Gaidterisches Haus;48.2118713;16.3671866;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 84. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tiefer_Graben_9&oldid=511395;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282652;Tiefer Graben 9;165;Paul Geider Hafner;Schottenviertel;Tiefer Graben, Gaidtersches Haus, eH
24;Tiefer Graben, Dr. Kotzi Haus;48.21227;16.3678367;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 87. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tiefer_Graben_17&oldid=511248;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282657;Tiefer Graben 17;168;Hr. Joh. Crist. Ign. Katius Med.;Schottenviertel;"Tiefer Graben, Kazy, Dr., Haus;Tiefer Graben, Kozy, Dr., Haus"
25;Rotenturmstraße, Zur goldenen Sonne;48.2095258;16.3684328;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 622. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Graben_19&oldid=809249;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279006;Graben 19;170;;Widmerviertel;Rotenturm, goldene Sonne
26;Kohlmarkt, Langisches Haus;48.2095258;16.3684328;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 661. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Graben_19&oldid=809249;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279009;Graben 19;171;;Widmerviertel;"Kohlmarkt, Haus d. Langischen Erben;Kohlmarkt, Lang, Witwe, Haus;Kohlmarkt, Langisches Haus"
27;Hohe Brücke, Ungarisches Haus;48.2133376;16.3691431;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 797. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=B%C3%B6rsegasse_1&oldid=510346;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282098;Tiefer Graben 23;175;;Schottenviertel;Hohe Brücke, ungarisches Haus
28;Arsenal, Eysenhuterisches Haus;48.2134455;16.3685296;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 661. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=B%C3%B6rsegasse_5&oldid=510006;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282137;Börsegasse 5;180;Georg Meyer?;Schottenviertel;"Arsenal, bei, Eyßenhuet Haus;Arsenal, beim, Eysenhuet Haus;Arsenal, beim, Eysenhuet, Johann, Haus;Arsenal, beim, Eysenhuet/Eyßenhueterisches Haus;Arsenal, beim, Eysenhuetrisches/Eusenhuedt Haus;Arsenal, beim, Eyßenhueterisches Haus;Arsenal, beim, Eyßenhueterisches/Eisenhuedterisches Haus;Arsenal, Eisenhuedt/ Eysenheudt Haus"
29;Passauerhof;48.2130617;16.3703593;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,4, Wien: Selbstverlag, 1950, S. 760. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Passauer_Hof&oldid=391030;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282681;Passauer Platz 6;212;;Schottenviertel;Passauerhof
30;Salzgries, Wolf in der Au;48.213488;16.369694;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 768. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Ledererhof&oldid=9795;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282681;Salzgries 23;214;;Schottenviertel;"(Salzgries), Wolf in der Au;Salzgrieß, Wolf in der Au;Salzgrieß, Wolf in der Au, beim;Salzgries, am, Wolf in der Au;Salzgries, Wolf in der Au;Wolf i.d. Au, beim [Salzgrieß];Wolf in der Au;Wolf in der Au, beim"
31;Tiefer Graben, Forsterisches Haus;48.2134126;16.3694554;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 769. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Am_Gestade_2-4&oldid=797416;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282689;Am Gestade 2-4;216;;Schottenviertel;Tiefer Graben, Forster, Ferdinand, Haus
32;Tiefer Graben, Zum goldenen Glöckel;48.2133414;16.3694217;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 754. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Am_Gestade_2-4&oldid=797416;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282690;Am Gestade 2-4;217;;Schottenviertel;"Tiefer Graben, goldene Glocke, bei der;Tiefer Graben, goldenes Glöckel, beim;Tiefer Graben, goldenes Glöckl"
33;Tiefer Graben, Zum grünen Hirsch;48.2132876;16.3694184;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 754. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Am_Gestade_2-4&oldid=797416;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282693;Am Gestade 2-4;218;Barthol. Lamenith;Schottenviertel;"Tiefer Graben, grüner Hirsch;Tiefer Graben, grüner Hirsch, beim"
34;Am Gestade, Hiebmerisches Haus;48.2130028;16.3697987;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 758. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Am_Gestade_1&oldid=797417;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282675;Am Gestade 1;220;Mathias Widman;Schottenviertel;Am Gestade (Unser Frauenstiege), Hiebmer/ Hiebner, Friedrich Haus
35;Am Gestade, Neumayrisches Haus;48.2131182;16.3694365;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,1, Wien: Selbstverlag, 1952, S. 153. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Am_Gestade_5&oldid=797414;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282679;am Gestade 5;222;Antoni (…);Schottenviertel;Am Gestade (Unser Frauenstiege), Neümayrisches Haus, eH
36;Tiefer Graben, Weinbergisches Haus;48.2118445;16.3675452;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,1, Wien: Selbstverlag, 1952, S. 144-145. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tiefer_Graben_8&oldid=511264;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282661;Tiefer Graben 8;235;Georg Weinberger erb.;Widmerviertel;"Tiefer Graben, Weinberger, Hans, Haus;Tiefer Graben, Weinbergerisches Haus;Tiefer Graben, Weinperger, Georg, Haus"
37;Heidenschuß, Beim steinernen Türken;48.2111031;16.3663423;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,1, Wien: Selbstverlag, 1952, S. 180. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Heidenschu%C3%9F&oldid=443848;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279957;Heidenschuß 3;237;;Schottenviertel;Heidenschuß, steinerner Türke
38;Freyung, Auerspergisches Haus;48.2113799;16.3653277;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 130. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Harrachpalais_(1)&oldid=826095;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279928;Freyung 3;239;Ihre fürstliche gn. Hr. Ferdinandt Fürst v. Auersperg;Schottenviertel;"Freyung (Schottenfreyung), Auerspergisches Haus;Freyung (Schottenfreyung), Auerspergisches Haus, eH;Freyung (Schottenfreyung), Augspergerisches Haus;Freyung, Auerperg, Fürst Haus;Freyung, Augspergerisches Haus"
39;Herrengasse, Traunisches Haus;48.210418;16.3654483;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,1, Wien: Selbstverlag, 1952, S. 144-145. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Ferstelpalais&oldid=803207;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279920;Herrengasse 14;240;;Schottenviertel;Herrengasse, Traunisches Haus
40;Beim Schönbrunn, Wisendisches Haus;48.2105341;16.3659256;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 307. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Sch%C3%B6nbrunnerhaus&oldid=511024;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279966;Strauchgasse 3;244;;Schottenviertel;"beim Schönbrunn, Wisendisches Haus, im Hofzahlamt;beim Schönbrunn, Wisendisches Haus, eH (Amt)"
41;Herrengasse, Hofbeckisches Haus;48.2100735;16.3655732;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 135. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Herrengasse_12&oldid=510460;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294270;Herrengasse 12;249;;Schottenviertel;Landhaus, gegenüber, Hofböckisches Haus
42;Herrengasse, Lambergisches Haus;48.2098642;16.3657695;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 130. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Herrengasse_10&oldid=814467;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294265;Herrengasse 10;250;;Schottenviertel;Herrengasse, Lambergisches Haus
43;Herrengasse, Liechtensteinisches Haus;48.2089291;16.3663623;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 124. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Herrengasse_6-8&oldid=510401;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294259;Herrengasse 6-8;251;;Schottenviertel;Herrengasse, Liechtensteinisches Haus
44;Kohlmarkt, Selbisches Haus;48.2082741;16.3667131;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 33. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Kohlmarkt_18&oldid=510727;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294168;Kohlmarkt 18;253;;Schottenviertel;Kohlmarkt, Selbisches Haus
45;Kohlmarkt, Penzisches Haus;48.2084284;16.3669719;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 24. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Kohlmarkt_16&oldid=510855;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294165;Kohlmarkt 16;254;Ernst Josua Penz Handelsm.;Schottenviertel;"Kohlmarkt, Pentz, Herr, Haus;Kohlmarkt, Pentzisches Haus;Kohlmarkt, Penz, Ernst, Haus;Kohlmarkt, Penz, Hans, Haus;Kohlmarkt, Penz, Herr, Haus;Kohlmarkt, Penz. Haus;Kohlmarkt, Penzische Erben, Haus;Kohlmarkt, Penzisches Haus"
46;Kohlmarkt, Lackhnerisches Haus;48.2085204;16.3670414;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 22. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Kohlmarkt_16&oldid=510855;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294163;Kohlmarkt 16;255;georg Lackhner buchführer;Schottenviertel;"Kohlmarkt, Lacherische Erben, Haus;Kohlmarkt, Lackhnerisches Haus;Kohlmarkt, Lackhnersches/Lacknerisches Haus;Kohlmarkt, Lackner[sches] Haus;Kohlmarkt, Lacknerisches Haus;Kohlmarkt, Laitnerisches Haus;Kohlmarkt, Lakner, Herr Haus;Kohlmarkt, Lakner. Haus;Kohlmarkt, Laknerisches Haus"
47;Kohlmarkt, Gurlandisches Haus;48.2086283;16.3672328;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 21. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Kohlmarkt_14&oldid=510787;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294159;Kohlmarkt 14;257;;Schottenviertel;Kohlmarkt, Gurlandtisches Haus, eH
48;Kohlmarkt, Zum grünen Gatter;48.2087108;16.3673575;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 22. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Kohlmarkt_12&oldid=510831;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294157;Kohlmarkt 12;258;;Schottenviertel;Kohlmarkt, eH beim grünen Gatter
49;Kohlmarkt, Böhmsches Haus;48.2087687;16.3673858;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 42. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Kohlmarkt_8-10&oldid=510877;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294155;Kohlmarkt 8-10;259;;Schottenviertel;"Kohlmarkt, Böheimb/Böhm, Johann, Haus;Kohlmarkt, Böhm, Hans, Haus;Kohlmarkt, Bohm, Herr, Haus;Kohlmarkt, Böhm, Johann, Haus;Kohlmarkt, Böhm. Haus;Kohlmarkt, Böhmb, Hans, Haus;Kohlmarkt, Böhmb, Johann, Garderobist, ksl., Haus;Kohlmarkt, Böhmb, Johann, Haus;Kohlmarkt, Böhmsches (?) Haus, eH;Kohlmarkt, Böhmsches Haus, eH"
50;Kohlmarkt, Valentinisches Haus;48.2088223;16.3674716;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 43. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Kohlmarkt_8-10&oldid=510877;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294152;Kohlmarkt 8-10;260;Ferd. Vallenthin;Schottenviertel;"Kohlmarkt, Valentin, Herr, Haus;Kohlmarkt, Valentin. Erben, Haus;Kohlmarkt, Valentinisches Haus;Kohlmarkt, Valentinisches Haus, eH;Kohlmarkt, Vallenth(in)/Vallenini, Catharina, Witwe, Haus;Kohlmarkt, Vallenthin, Catharina, Witwe, Haus;Kohlmarkt, Vallentin, Ferdinand, Haus;Kohlmarkt, Vallentinisches Haus"
51;Wallnerstraße, Lambergisches Haus;48.2092862;16.3671179;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 43. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wallnerstra%C3%9Fe_3&oldid=511244;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294177;Wallnerstraße 3;263;Ihr. gn. Hr. Leopold graff v. Lamberg;Schottenviertel;"Wallnerstraße (Wahllerstaße), Lambergsches Haus, eH;Wallnerstraße, Lamberg. Haus;Wallnerstraße, Lambergisches Haus;Wallnerstraße?, Lambergisches Haus"
52;Kanzleibad;48.2094565;16.3668617;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 45. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Kanzleibad&oldid=510856;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294178;Wallnerstraße 5;264;Matthias Wilhelmb Buecher Baader;Schottenviertel;Wallnerstraße, Kanzleibad
53;Wallnerstraße, Nestlehnerisches Haus;48.2095336;16.3667581;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 86. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wallnerstra%C3%9Fe_5-7&oldid=511391;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294180;Wallnerstraße 5-7;265;Hanns Georg Nestlener;Schottenviertel;"Wallnerstraße, Nestlehner, Johann Georg, Haus;Wallnerstraße, Nestlehner, Johann, Haus"
